dialogue_id	source_file	label	map	speaker	context	tags	text	notes	original_hash
data/event_scripts.s::gText_PlayerWhitedOut	data/event_scripts.s	gText_PlayerWhitedOut			PlayerWhitedOut		{PLAYER} is out of usable\nPOKéMON!\p{PLAYER} whited out!		93bca32877c726a6
data/event_scripts.s::gText_FirstShouldRestoreMonsHealth	data/event_scripts.s	gText_FirstShouldRestoreMonsHealth			FirstShouldRestoreMonsHealth		First, you should restore your\nPOKéMON to full health.		ca519b756f80ccfd
data/event_scripts.s::gText_MonsHealedShouldBuyPotions	data/event_scripts.s	gText_MonsHealedShouldBuyPotions			MonsHealedShouldBuyPotions		Your POKéMON have been healed\nto perfect health.\pIf your POKéMON's energy, HP,\nis down, please come see us.\pIf you're planning to go far in the\nfield, you should buy some POTIONS\lat the POKéMON MART.\pWe hope you excel!		16e932201674012f
data/event_scripts.s::gText_MonsHealed	data/event_scripts.s	gText_MonsHealed			MonsHealed		Your POKéMON have been healed\nto perfect health.\pWe hope you excel!		0847524cd33bf2c8
data/event_scripts.s::gText_HadQuiteAnExperienceTakeRest	data/event_scripts.s	gText_HadQuiteAnExperienceTakeRest			HadQuiteAnExperienceTakeRest		MOM: {PLAYER}!\nWelcome home.\pIt sounds like you had quite\nan experience.\pMaybe you should take a quick\nrest.		33b1625f832d7055
data/event_scripts.s::gText_MomExplainHPGetPotions	data/event_scripts.s	gText_MomExplainHPGetPotions			MomExplainHPGetPotions		MOM: Oh, good! You and your\nPOKéMON are looking great.\pI just heard from PROF. BIRCH.\pHe said that POKéMON's energy is\nmeasured in HP.\pIf your POKéMON lose their HP,\nyou can restore them at any\lPOKéMON CENTER.\pIf you're going to travel far away,\nthe smart TRAINER stocks up on\lPOTIONS at the POKéMON MART.\pMake me proud, honey!\pTake care!		757e35afe5dac27d
data/event_scripts.s::gText_RegisteredTrainerinPokeNav	data/event_scripts.s	gText_RegisteredTrainerinPokeNav			RegisteredTrainerinPokeNav		Registered {STR_VAR_1} {STR_VAR_2}\nin the POKéNAV.		a690bf836535c051
data/event_scripts.s::gText_ComeBackWithSecretPower	data/event_scripts.s	gText_ComeBackWithSecretPower			ComeBackWithSecretPower		Do you know the TM SECRET POWER?\pOur group, we love the TM SECRET\nPOWER.\pOne of our members will give it to you.\nCome back and show me if you get it.\pWe'll accept you as a member and sell\nyou good stuff in secrecy.		d8f06a673047bd73
data/event_scripts.s::gText_PokerusExplanation	data/event_scripts.s	gText_PokerusExplanation			PokerusExplanation		Your POKéMON may be infected with\nPOKéRUS.\pLittle is known about the POKéRUS\nexcept that they are microscopic life-\lforms that attach to POKéMON.\pWhile infected, POKéMON are said to\ngrow exceptionally well.		46d308bfe93ac8f7
data/event_scripts.s::gText_DoorOpenedFarAway	data/event_scripts.s	gText_DoorOpenedFarAway			DoorOpenedFarAway		It sounded as if a door opened\nsomewhere far away.		125123c855ffa1a1
data/event_scripts.s::gText_BigHoleInTheWall	data/event_scripts.s	gText_BigHoleInTheWall			BigHoleInTheWall		There is a big hole in the wall.		fe2bcb144ee04ae2
data/event_scripts.s::gText_SorryWirelessClubAdjustments	data/event_scripts.s	gText_SorryWirelessClubAdjustments			SorryWirelessClubAdjustments		I'm terribly sorry.\nThe POKéMON WIRELESS CLUB is\lundergoing adjustments now.		acff8b70efe67ee1
data/event_scripts.s::gText_UndergoingAdjustments	data/event_scripts.s	gText_UndergoingAdjustments			UndergoingAdjustments		It appears to be undergoing\nadjustments…		88fea6c3cd25eb8c
data/event_scripts.s::gText_SorryTradeCenterInspections	data/event_scripts.s	gText_SorryTradeCenterInspections			SorryTradeCenterInspections		I'm terribly sorry. The TRADE CENTER\nis undergoing inspections.		c7ab244716510b21
data/event_scripts.s::gText_SorryRecordCornerPreparation	data/event_scripts.s	gText_SorryRecordCornerPreparation			SorryRecordCornerPreparation		I'm terribly sorry. The RECORD CORNER\nis under preparation.		f79fff2229c2691d
data/event_scripts.s::gText_PlayerHandedOverTheItem	data/event_scripts.s	gText_PlayerHandedOverTheItem			PlayerHandedOverTheItem		{PLAYER} handed over the\n{STR_VAR_1}.		4a0ee21b7db9be15
data/event_scripts.s::gText_ThankYouForAccessingMysteryGift	data/event_scripts.s	gText_ThankYouForAccessingMysteryGift			ThankYouForAccessingMysteryGift		Thank you for accessing the\nMYSTERY GIFT System.		6b7823939b131f38
data/event_scripts.s::gText_PlayerFoundOneTMHM	data/event_scripts.s	gText_PlayerFoundOneTMHM			PlayerFoundOneTMHM		{PLAYER} found one {STR_VAR_1}\n{STR_VAR_2}!		999c73711110c20c
data/event_scripts.s::gText_PlayerFoundTMHMs	data/event_scripts.s	gText_PlayerFoundTMHMs			PlayerFoundTMHMs		{PLAYER} found {STR_VAR_3} {STR_VAR_1}\n{STR_VAR_2}!		5253c75a134706e3
data/event_scripts.s::gText_Sudowoodo_Attacked	data/event_scripts.s	gText_Sudowoodo_Attacked		Sudowoodo	Attacked		The weird tree doesn't like the\nWAILMER PAIL!\pThe weird tree attacked!		df0a65b523746d5b
data/event_scripts.s::gText_LegendaryFlewAway	data/event_scripts.s	gText_LegendaryFlewAway			LegendaryFlewAway		The {STR_VAR_1} flew away!		70682c53759bbfba
data/maps/AbandonedShip_CaptainsOffice/scripts.inc::AbandonedShip_CaptainsOffice_Text_NoSuccessFindingScanner	data/maps/AbandonedShip_CaptainsOffice/scripts.inc	AbandonedShip_CaptainsOffice_Text_NoSuccessFindingScanner	AbandonedShip_CaptainsOffice		NoSuccessFindingScanner		I'm investigating this ship on behalf\nof CAPT. STERN.\pHe also asked me to find a SCANNER,\nbut I haven't had any success…		73a86b3ab2d1fb48
data/maps/AbandonedShip_CaptainsOffice/scripts.inc::AbandonedShip_CaptainsOffice_Text_OhCanYouDeliverScanner	data/maps/AbandonedShip_CaptainsOffice/scripts.inc	AbandonedShip_CaptainsOffice_Text_OhCanYouDeliverScanner	AbandonedShip_CaptainsOffice		OhCanYouDeliverScanner		Oh! That's a SCANNER!\pListen, can I get you to deliver that\nto CAPT. STERN?\pI want to investigate this ship a\nlittle more.		8257577e11de8028
data/maps/AbandonedShip_CaptainsOffice/scripts.inc::AbandonedShip_CaptainsOffice_Text_ThisIsSSCactus	data/maps/AbandonedShip_CaptainsOffice/scripts.inc	AbandonedShip_CaptainsOffice_Text_ThisIsSSCactus	AbandonedShip_CaptainsOffice		ThisIsSSCactus		This ship is called S.S. CACTUS.\nIt seems to be from an earlier era.		d3fbd4d13aab7bf0
data/maps/AbandonedShip_Corridors_1F/scripts.inc::AbandonedShip_Corridors_1F_Text_CharlieIntro	data/maps/AbandonedShip_Corridors_1F/scripts.inc	AbandonedShip_Corridors_1F_Text_CharlieIntro	AbandonedShip_Corridors_1F		CharlieIntro		What's so funny about having my inner\ntube aboard the ship?		3726cd97c9e43e5f
data/maps/AbandonedShip_Corridors_1F/scripts.inc::AbandonedShip_Corridors_1F_Text_CharlieDefeat	data/maps/AbandonedShip_Corridors_1F/scripts.inc	AbandonedShip_Corridors_1F_Text_CharlieDefeat	AbandonedShip_Corridors_1F		CharlieDefeat		Whoa, you overwhelmed me!		2f0c1e077b6155a9
data/maps/AbandonedShip_Corridors_1F/scripts.inc::AbandonedShip_Corridors_1F_Text_CharliePostBattle	data/maps/AbandonedShip_Corridors_1F/scripts.inc	AbandonedShip_Corridors_1F_Text_CharliePostBattle	AbandonedShip_Corridors_1F		CharliePostBattle		It's not easy throwing POKé BALLS\nwhile hanging on to an inner tube!		f2a70c0c0c00aa52
data/maps/AbandonedShip_Corridors_1F/scripts.inc::AbandonedShip_Corridors_1F_Text_IsntItFunHere	data/maps/AbandonedShip_Corridors_1F/scripts.inc	AbandonedShip_Corridors_1F_Text_IsntItFunHere	AbandonedShip_Corridors_1F		IsntItFunHere		Isn't it fun here?\nI get excited just being here!		2182fe0ca1512268
data/maps/AbandonedShip_Corridors_B1F/scripts.inc::AbandonedShip_Corridors_B1F_Text_DuncanIntro	data/maps/AbandonedShip_Corridors_B1F/scripts.inc	AbandonedShip_Corridors_B1F_Text_DuncanIntro	AbandonedShip_Corridors_B1F		DuncanIntro		When we go out to sea, we SAILORS\nalways bring our POKéMON.\lHow about a quick battle?		b3c964e5aed6afaf
data/maps/AbandonedShip_Corridors_B1F/scripts.inc::AbandonedShip_Corridors_B1F_Text_DuncanDefeat	data/maps/AbandonedShip_Corridors_B1F/scripts.inc	AbandonedShip_Corridors_B1F_Text_DuncanDefeat	AbandonedShip_Corridors_B1F		DuncanDefeat		Whoops, I'm sunk!		8e31e2431ca64fb2
data/maps/AbandonedShip_Corridors_B1F/scripts.inc::AbandonedShip_Corridors_B1F_Text_DuncanPostBattle	data/maps/AbandonedShip_Corridors_B1F/scripts.inc	AbandonedShip_Corridors_B1F_Text_DuncanPostBattle	AbandonedShip_Corridors_B1F		DuncanPostBattle		The ship's bottom has sunk into the\ndepths.\pIf a POKéMON knew how to go underwater,\nwe might make some progress…		c7edc97bb3ac0b08
data/maps/AbandonedShip_Corridors_B1F/scripts.inc::AbandonedShip_Corridors_B1F_Text_YayItsAShip	data/maps/AbandonedShip_Corridors_B1F/scripts.inc	AbandonedShip_Corridors_B1F_Text_YayItsAShip	AbandonedShip_Corridors_B1F		YayItsAShip		Yay!\nIt's a ship!		621a664f1ede396f
data/maps/AbandonedShip_Corridors_B1F/scripts.inc::AbandonedShip_Corridors_B1F_Text_DoorIsLocked	data/maps/AbandonedShip_Corridors_B1F/scripts.inc	AbandonedShip_Corridors_B1F_Text_DoorIsLocked	AbandonedShip_Corridors_B1F		DoorIsLocked		The door is locked.\p“STORAGE” is painted on the door.		34db3c7d16e5d95f
data/maps/AbandonedShip_Corridors_B1F/scripts.inc::AbandonedShip_Corridors_B1F_Text_InsertedStorageKey	data/maps/AbandonedShip_Corridors_B1F/scripts.inc	AbandonedShip_Corridors_B1F_Text_InsertedStorageKey	AbandonedShip_Corridors_B1F		InsertedStorageKey		{PLAYER} inserted and turned the\nSTORAGE KEY.\pThe inserted KEY stuck fast,\nbut the door opened.		6ab396f5a3e59981
data/maps/AbandonedShip_Corridors_B1F/scripts.inc::AbandonedShip_Text_TheDoorIsOpen	data/maps/AbandonedShip_Corridors_B1F/scripts.inc	AbandonedShip_Text_TheDoorIsOpen	AbandonedShip_Corridors_B1F		TheDoorIsOpen		The door is open.		7f6ceb55b490f4bb
data/maps/AbandonedShip_HiddenFloorCorridors/scripts.inc::AbandonedShip_HiddenFloorCorridors_Text_Rm1DoorIsLocked	data/maps/AbandonedShip_HiddenFloorCorridors/scripts.inc	AbandonedShip_HiddenFloorCorridors_Text_Rm1DoorIsLocked	AbandonedShip_HiddenFloorCorridors		Rm1DoorIsLocked		The door is locked.\p“RM. 1” is painted on the door.		7c68597484af0e80
data/maps/AbandonedShip_HiddenFloorCorridors/scripts.inc::AbandonedShip_HiddenFloorCorridors_Text_Rm2DoorIsLocked	data/maps/AbandonedShip_HiddenFloorCorridors/scripts.inc	AbandonedShip_HiddenFloorCorridors_Text_Rm2DoorIsLocked	AbandonedShip_HiddenFloorCorridors		Rm2DoorIsLocked		The door is locked.\p“RM. 2” is painted on the door.		812b4e9f0d12e526
data/maps/AbandonedShip_HiddenFloorCorridors/scripts.inc::AbandonedShip_HiddenFloorCorridors_Text_Rm4DoorIsLocked	data/maps/AbandonedShip_HiddenFloorCorridors/scripts.inc	AbandonedShip_HiddenFloorCorridors_Text_Rm4DoorIsLocked	AbandonedShip_HiddenFloorCorridors		Rm4DoorIsLocked		The door is locked.\p“RM. 4” is painted on the door.		de6b10c0fb6ab7f3
data/maps/AbandonedShip_HiddenFloorCorridors/scripts.inc::AbandonedShip_HiddenFloorCorridors_Text_Rm6DoorIsLocked	data/maps/AbandonedShip_HiddenFloorCorridors/scripts.inc	AbandonedShip_HiddenFloorCorridors_Text_Rm6DoorIsLocked	AbandonedShip_HiddenFloorCorridors		Rm6DoorIsLocked		The door is locked.\p“RM. 6” is painted on the door.		6ccbb8b0f8b2c335
data/maps/AbandonedShip_HiddenFloorCorridors/scripts.inc::AbandonedShip_HiddenFloorCorridors_Text_InsertedKey	data/maps/AbandonedShip_HiddenFloorCorridors/scripts.inc	AbandonedShip_HiddenFloorCorridors_Text_InsertedKey	AbandonedShip_HiddenFloorCorridors		InsertedKey		{PLAYER} inserted and turned the\nKEY.\pThe inserted KEY stuck fast,\nbut the door opened.		4926cebbe82e512d
data/maps/AbandonedShip_HiddenFloorRooms/scripts.inc::AbandonedShip_HiddenFloorRooms_Text_BrightShinyTrash	data/maps/AbandonedShip_HiddenFloorRooms/scripts.inc	AbandonedShip_HiddenFloorRooms_Text_BrightShinyTrash	AbandonedShip_HiddenFloorRooms		BrightShinyTrash		It's bright and shiny!\nBut it's just trash…		22c4b1821fadb939
data/maps/AbandonedShip_Rooms2_1F/scripts.inc::AbandonedShip_Rooms2_1F_Text_DanIntro	data/maps/AbandonedShip_Rooms2_1F/scripts.inc	AbandonedShip_Rooms2_1F_Text_DanIntro	AbandonedShip_Rooms2_1F		DanIntro		DAN: While searching for treasures,\nwe discovered a TRAINER!		15f1c922027b61cb
data/maps/AbandonedShip_Rooms2_1F/scripts.inc::AbandonedShip_Rooms2_1F_Text_DanDefeat	data/maps/AbandonedShip_Rooms2_1F/scripts.inc	AbandonedShip_Rooms2_1F_Text_DanDefeat	AbandonedShip_Rooms2_1F		DanDefeat		DAN: We couldn't win even though\nwe worked together…		55d2c9df81457896
data/maps/AbandonedShip_Rooms2_1F/scripts.inc::AbandonedShip_Rooms2_1F_Text_DanPostBattle	data/maps/AbandonedShip_Rooms2_1F/scripts.inc	AbandonedShip_Rooms2_1F_Text_DanPostBattle	AbandonedShip_Rooms2_1F		DanPostBattle		DAN: We can't find any treasures…\nI wonder if someone got them already?		d54ee8146855e078
data/maps/AbandonedShip_Rooms2_1F/scripts.inc::AbandonedShip_Rooms2_1F_Text_DanNotEnoughMons	data/maps/AbandonedShip_Rooms2_1F/scripts.inc	AbandonedShip_Rooms2_1F_Text_DanNotEnoughMons	AbandonedShip_Rooms2_1F		DanNotEnoughMons		DAN: You don't even have two POKéMON.\nYou can't expect to beat us like that.		4afb23954effb7c9
data/maps/AbandonedShip_Rooms2_1F/scripts.inc::AbandonedShip_Rooms2_1F_Text_KiraIntro	data/maps/AbandonedShip_Rooms2_1F/scripts.inc	AbandonedShip_Rooms2_1F_Text_KiraIntro	AbandonedShip_Rooms2_1F		KiraIntro		KIRA: Oh?\nWe were searching for treasures.\lBut we discovered a TRAINER instead!		13e6d8acf309ea34
data/maps/AbandonedShip_Rooms2_1F/scripts.inc::AbandonedShip_Rooms2_1F_Text_KiraDefeat	data/maps/AbandonedShip_Rooms2_1F/scripts.inc	AbandonedShip_Rooms2_1F_Text_KiraDefeat	AbandonedShip_Rooms2_1F		KiraDefeat		KIRA: Ooh, so strong!		3ffd843c27af4d19
data/maps/AbandonedShip_Rooms2_1F/scripts.inc::AbandonedShip_Rooms2_1F_Text_KiraPostBattle	data/maps/AbandonedShip_Rooms2_1F/scripts.inc	AbandonedShip_Rooms2_1F_Text_KiraPostBattle	AbandonedShip_Rooms2_1F		KiraPostBattle		KIRA: Where could the treasures be?\pI've already decided what I'm buying\nwhen we find the treasures!		8d043862a204ebf4
data/maps/AbandonedShip_Rooms2_1F/scripts.inc::AbandonedShip_Rooms2_1F_Text_KiraNotEnoughMons	data/maps/AbandonedShip_Rooms2_1F/scripts.inc	AbandonedShip_Rooms2_1F_Text_KiraNotEnoughMons	AbandonedShip_Rooms2_1F		KiraNotEnoughMons		KIRA: Oh, you don't have two POKéMON?\nWe'll have to battle some other time!		f086ce73e60f242b
data/maps/AbandonedShip_Rooms2_1F/scripts.inc::AbandonedShip_Rooms2_1F_Text_KiraRegister	data/maps/AbandonedShip_Rooms2_1F/scripts.inc	AbandonedShip_Rooms2_1F_Text_KiraRegister	AbandonedShip_Rooms2_1F		KiraRegister		KIRA: Oh, you make me so angry!\nI'm going to register you for that!		c3388b82a2291a15
data/maps/AbandonedShip_Rooms2_1F/scripts.inc::AbandonedShip_Rooms2_1F_Text_DanRematchIntro	data/maps/AbandonedShip_Rooms2_1F/scripts.inc	AbandonedShip_Rooms2_1F_Text_DanRematchIntro	AbandonedShip_Rooms2_1F		DanRematchIntro		DAN: We've been searching for\ntreasures all this time.\pOur POKéMON have grown stronger, too.\nLet us show you, okay?		4b2165bd7d87f235
data/maps/AbandonedShip_Rooms2_1F/scripts.inc::AbandonedShip_Rooms2_1F_Text_DanRematchDefeat	data/maps/AbandonedShip_Rooms2_1F/scripts.inc	AbandonedShip_Rooms2_1F_Text_DanRematchDefeat	AbandonedShip_Rooms2_1F		DanRematchDefeat		DAN: You're strong, as usual!		ecb704af09bd7982
data/maps/AbandonedShip_Rooms2_1F/scripts.inc::AbandonedShip_Rooms2_1F_Text_DanPostRematch	data/maps/AbandonedShip_Rooms2_1F/scripts.inc	AbandonedShip_Rooms2_1F_Text_DanPostRematch	AbandonedShip_Rooms2_1F		DanPostRematch		DAN: We can't find any treasures,\nwe lose at POKéMON…\pI want to go home… But if I say that,\nshe gets all angry with me…		3e6335ae52c4015f
data/maps/AbandonedShip_Rooms2_1F/scripts.inc::AbandonedShip_Rooms2_1F_Text_DanRematchNotEnoughMons	data/maps/AbandonedShip_Rooms2_1F/scripts.inc	AbandonedShip_Rooms2_1F_Text_DanRematchNotEnoughMons	AbandonedShip_Rooms2_1F		DanRematchNotEnoughMons		DAN: You don't even have two POKéMON.\nYou can't expect to beat us like that.		4afb23954effb7c9
data/maps/AbandonedShip_Rooms2_1F/scripts.inc::AbandonedShip_Rooms2_1F_Text_KiraRematchIntro	data/maps/AbandonedShip_Rooms2_1F/scripts.inc	AbandonedShip_Rooms2_1F_Text_KiraRematchIntro	AbandonedShip_Rooms2_1F		KiraRematchIntro		KIRA: Oh? We meet again!\pJust like us, you still haven't given up\nsearching for treasures, have you?\pWant to make it so the loser has\nto give up searching?		3c560f22b7e35bce
data/maps/AbandonedShip_Rooms2_1F/scripts.inc::AbandonedShip_Rooms2_1F_Text_KiraRematchDefeat	data/maps/AbandonedShip_Rooms2_1F/scripts.inc	AbandonedShip_Rooms2_1F_Text_KiraRematchDefeat	AbandonedShip_Rooms2_1F		KiraRematchDefeat		KIRA: Oh, we lost again…		2b7d196e359e8ee6
data/maps/AbandonedShip_Rooms2_1F/scripts.inc::AbandonedShip_Rooms2_1F_Text_KiraPostRematch	data/maps/AbandonedShip_Rooms2_1F/scripts.inc	AbandonedShip_Rooms2_1F_Text_KiraPostRematch	AbandonedShip_Rooms2_1F		KiraPostRematch		KIRA: We're not leaving until we raise\nour POKéMON some more and we find\lthe treasures here!		eb7623eaf945552c
data/maps/AbandonedShip_Rooms2_1F/scripts.inc::AbandonedShip_Rooms2_1F_Text_KiraRematchNotEnoughMons	data/maps/AbandonedShip_Rooms2_1F/scripts.inc	AbandonedShip_Rooms2_1F_Text_KiraRematchNotEnoughMons	AbandonedShip_Rooms2_1F		KiraRematchNotEnoughMons		KIRA: Oh, you don't have two POKéMON?\nWe'll have to battle some other time!		f086ce73e60f242b
data/maps/AbandonedShip_Rooms2_1F/scripts.inc::AbandonedShip_Rooms2_1F_Text_JaniIntro	data/maps/AbandonedShip_Rooms2_1F/scripts.inc	AbandonedShip_Rooms2_1F_Text_JaniIntro	AbandonedShip_Rooms2_1F		JaniIntro		I'm not good at swimming,\nbut I am good at battles!		84eef7cc5f93fe4b
data/maps/AbandonedShip_Rooms2_1F/scripts.inc::AbandonedShip_Rooms2_1F_Text_JaniDefeat	data/maps/AbandonedShip_Rooms2_1F/scripts.inc	AbandonedShip_Rooms2_1F_Text_JaniDefeat	AbandonedShip_Rooms2_1F		JaniDefeat		Oops.\nThat didn't go very well.		179ca5112f55a34d
data/maps/AbandonedShip_Rooms2_1F/scripts.inc::AbandonedShip_Rooms2_1F_Text_JaniPostBattle	data/maps/AbandonedShip_Rooms2_1F/scripts.inc	AbandonedShip_Rooms2_1F_Text_JaniPostBattle	AbandonedShip_Rooms2_1F		JaniPostBattle		Walking around barefoot in this ship\nis kind of gross.		8deddb3a5975574a
data/maps/AbandonedShip_Rooms2_1F/scripts.inc::AbandonedShip_Rooms2_1F_Text_GarrisonIntro	data/maps/AbandonedShip_Rooms2_1F/scripts.inc	AbandonedShip_Rooms2_1F_Text_GarrisonIntro	AbandonedShip_Rooms2_1F		GarrisonIntro		Strength and compassion…\nThose are a TRAINER's treasures!		f76c6d8e7e9e929c
data/maps/AbandonedShip_Rooms2_1F/scripts.inc::AbandonedShip_Rooms2_1F_Text_GarrisonDefeat	data/maps/AbandonedShip_Rooms2_1F/scripts.inc	AbandonedShip_Rooms2_1F_Text_GarrisonDefeat	AbandonedShip_Rooms2_1F		GarrisonDefeat		Ah, there is something about you\nthat sparkles.		0ceaeb2f656bd8b8
data/maps/AbandonedShip_Rooms2_1F/scripts.inc::AbandonedShip_Rooms2_1F_Text_GarrisonPostBattle	data/maps/AbandonedShip_Rooms2_1F/scripts.inc	AbandonedShip_Rooms2_1F_Text_GarrisonPostBattle	AbandonedShip_Rooms2_1F		GarrisonPostBattle		In a cabin somewhere on board,\nI saw something sparkle.		de0f59704b24faca
data/maps/AbandonedShip_Rooms2_B1F/scripts.inc::AbandonedShip_Rooms2_B1F_Text_PerfectPlaceToGoExploring	data/maps/AbandonedShip_Rooms2_B1F/scripts.inc	AbandonedShip_Rooms2_B1F_Text_PerfectPlaceToGoExploring	AbandonedShip_Rooms2_B1F		PerfectPlaceToGoExploring		This is a perfect place to go exploring!\nIt's exciting here!\pI bet there're amazing treasures on\nboard.		4d81145e39e6fc4e
data/maps/AbandonedShip_Rooms_1F/scripts.inc::AbandonedShip_Rooms_1F_Text_TakingALookAround	data/maps/AbandonedShip_Rooms_1F/scripts.inc	AbandonedShip_Rooms_1F_Text_TakingALookAround	AbandonedShip_Rooms_1F		TakingALookAround		Ships of this sort are rare, so I'm\ntaking a look around.\pHmhm…\nThere appear to be other cabins…		00db4cda7b29b132
data/maps/AbandonedShip_Rooms_1F/scripts.inc::AbandonedShip_Rooms_1F_Text_ThaliaIntro	data/maps/AbandonedShip_Rooms_1F/scripts.inc	AbandonedShip_Rooms_1F_Text_ThaliaIntro	AbandonedShip_Rooms_1F		ThaliaIntro		What on earth would compel you to\ncome here? You must be curious!		11ce747e5c145d43
data/maps/AbandonedShip_Rooms_1F/scripts.inc::AbandonedShip_Rooms_1F_Text_ThaliaDefeat	data/maps/AbandonedShip_Rooms_1F/scripts.inc	AbandonedShip_Rooms_1F_Text_ThaliaDefeat	AbandonedShip_Rooms_1F		ThaliaDefeat		Not just curious, but also strong…		9745cb68cf16f374
data/maps/AbandonedShip_Rooms_1F/scripts.inc::AbandonedShip_Rooms_1F_Text_ThaliaPostBattle	data/maps/AbandonedShip_Rooms_1F/scripts.inc	AbandonedShip_Rooms_1F_Text_ThaliaPostBattle	AbandonedShip_Rooms_1F		ThaliaPostBattle		The man next door…\pHe says he's just sightseeing,\nbut I don't know about that.		8ffd28fd69d9a753
data/maps/AbandonedShip_Rooms_1F/scripts.inc::AbandonedShip_Rooms_1F_Text_ThaliaRegister	data/maps/AbandonedShip_Rooms_1F/scripts.inc	AbandonedShip_Rooms_1F_Text_ThaliaRegister	AbandonedShip_Rooms_1F		ThaliaRegister		You're such a tough TRAINER!\nLet me register you as a memento!		8192740b7afe82e5
data/maps/AbandonedShip_Rooms_1F/scripts.inc::AbandonedShip_Rooms_1F_Text_ThaliaRematchIntro	data/maps/AbandonedShip_Rooms_1F/scripts.inc	AbandonedShip_Rooms_1F_Text_ThaliaRematchIntro	AbandonedShip_Rooms_1F		ThaliaRematchIntro		What on earth would compel you to\ncome back? You must really be curious!		3488e9e262a10467
data/maps/AbandonedShip_Rooms_1F/scripts.inc::AbandonedShip_Rooms_1F_Text_ThaliaRematchDefeat	data/maps/AbandonedShip_Rooms_1F/scripts.inc	AbandonedShip_Rooms_1F_Text_ThaliaRematchDefeat	AbandonedShip_Rooms_1F		ThaliaRematchDefeat		Aren't you too strong?		5ee23dceb8778d67
data/maps/AbandonedShip_Rooms_1F/scripts.inc::AbandonedShip_Rooms_1F_Text_ThaliaPostRematch	data/maps/AbandonedShip_Rooms_1F/scripts.inc	AbandonedShip_Rooms_1F_Text_ThaliaPostRematch	AbandonedShip_Rooms_1F		ThaliaPostRematch		I'm sure that man's up to something!\nHe just acts so suspiciously!		ed5cc83801127189
data/maps/AbandonedShip_Rooms_1F/scripts.inc::AbandonedShip_Rooms_1F_Text_DemetriusIntro	data/maps/AbandonedShip_Rooms_1F/scripts.inc	AbandonedShip_Rooms_1F_Text_DemetriusIntro	AbandonedShip_Rooms_1F		DemetriusIntro		Waaah!\nI've been found! …Huh?		05f52cf02c725b5c
data/maps/AbandonedShip_Rooms_1F/scripts.inc::AbandonedShip_Rooms_1F_Text_DemetriusDefeat	data/maps/AbandonedShip_Rooms_1F/scripts.inc	AbandonedShip_Rooms_1F_Text_DemetriusDefeat	AbandonedShip_Rooms_1F		DemetriusDefeat		Oh, you're not my mom.		b70c81076ea76ea3
data/maps/AbandonedShip_Rooms_1F/scripts.inc::AbandonedShip_Rooms_1F_Text_DemetriusPostBattle	data/maps/AbandonedShip_Rooms_1F/scripts.inc	AbandonedShip_Rooms_1F_Text_DemetriusPostBattle	AbandonedShip_Rooms_1F		DemetriusPostBattle		I'm in trouble with my mom, so I ran.\nKeep it a secret where I am!		90a222a22bbb8f2c
